variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0040010,0.004028501265058455,0.011480504237775899,0.0029265388692828365,0.025251688903007198,0.034531219597441626,15.953393377100827
ts0110004,0.004004286079405946,0.007259948452931597,0.002173674897079588,0.1431305802626006,0.07320535800661711,2.797645389307661
ts0210012,0.003914089080773914,0.005546118392168425,0.0012986551742738906,0.028008868064379504,0.02528906743682013,13.974463629794764
ts0540011,0.0039039624274034134,0.006001265971952108,0.0014065016495299258,0.1776636912325286,0.14986656777024,2.1973890108440086
ts0030016,0.0038937152208840912,0.008003850770534393,0.0021721739262545985,0.06915638500635325,0.0541349257972432,5.630304736903734
ts0620010,0.0038518419286487984,0.010263651803037718,0.0037508215292645472,0.06885148771706905,0.07373200996998899,5.59442076905752
ts0620003,0.0037863299240734963,0.009807047045863632,0.0033413200606729155,0.19967573591698431,0.06549509288407639,1.8962393736451144
ts0750006,0.003771883325761569,0.007032062521952459,0.00264535907434092,0.13719473210504024,0.05013726353045733,2.7492916585701748
ts0450005,0.003733382368750848,0.007330741305896518,0.0027872647236892962,0.0930038807708598,0.07123100414095217,4.014222135470932
ts0440008,0.0037282663035573672,0.014006327246255633,0.004666614566006617,0.007947723422278695,0.024618541922366188,46.90986469290642
ts007a0006,0.0037217666659167823,0.011228912549476569,0.003494523956258351,0.0578803261329945,0.05080181196034341,6.43010659159918
ts0380005,0.0037205225928680086,0.00615154986315225,0.001476125189468001,0.8199351863617111,0.06872467388557732,0.45375813292963313
ts0390002,0.0037003867573695837,0.007097379547928995,0.0016696203622102578,0.9103839263024142,0.029189125485675167,0.40646442126883264
ts0620004,0.003648798713133934,0.008416388486814336,0.0028614979086834286,0.11502242164337144,0.035444013210127766,3.1722499500550274
ts0020002,0.003608326052001471,0.008050217009457628,0.0020950551335089038,0.37513169737399404,0.13401504272473122,0.9618824741445637
ts0380002,0.0036042674585238833,0.005912699150376011,0.0014607796470240937,0.1800648136382889,0.06872467388557732,2.001650064606222
ts0510003,0.003527751881879959,0.007313662829809234,0.0023657993579329966,0.09616014400677679,0.1287776923101705,3.6686216709818407
ts0270006,0.003507103010494262,0.007286534754268485,0.0022584383150009908,0.005863013553578992,0.01983416515524971,59.81741264018401
ts0580006,0.00350683979540451,0.01039276976851599,0.0033092486957053773,0.04098711351122406,0.03429566958499477,8.555956970339432
ts0580011,0.0034595692245866574,0.006308031129241193,0.0025843157888477907,0.1464846198644642,0.05245740053328341,2.3617286427664865
ts0300002,0.003427527977015069,0.008987864660805811,0.002459121140875431,0.37589863934773393,0.12244840138613007,0.9118223952506391
ts0610011,0.00342472826031445,0.0062509972429723865,0.0016536997670507766,0.07874833227445997,0.06021637024232265,4.348953382756492
ts0590006,0.003378827198595391,0.006357664968137833,0.0015897981913182227,0.5867952244811521,0.07652993882150284,0.5758102754811903
ts0630010,0.003378174671652862,0.007345833642253302,0.0022864202687272153,0.10859703515459551,0.06664761584975178,3.110743002185827
ts0440004,0.0033714194819163042,0.008117624210369614,0.0026849912569321993,0.23294694515036002,0.2299391707233675,1.4472907037867175
ts0440002,0.003336668964539319,0.008643941079161381,0.0028751015813846745,0.23193287801778906,0.2617057979224031,1.4386356057218412
ts0030015,0.0032952637833098828,0.006102736301059078,0.001535875524689517,0.11136566603134265,0.06961205811510987,2.958958448093389
ts0630003,0.0032880779598230877,0.008205661464227132,0.0025986121265345876,0.19495401842439644,0.0930659404173912,1.686591528811298
ts0110003,0.0032750836694864643,0.004542081358529959,0.0008375388047709224,0.3350498623464634,0.059626374630462664,0.9774914236794446
ts0210010,0.0032382082870629288,0.016184831256778637,0.005178739573370995,0.00982439114781872,0.023069459004141313,32.960905549672646
ts0520005,0.003215359475258757,0.008505236804569535,0.0027098158667564435,0.03565058238034731,0.04406639042456636,9.019093828411767
ts0450004,0.0032054059380421975,0.004829284707662196,0.0013693227893727402,0.26224800402371873,0.12679407813095034,1.2222803944590892
ts0300005,0.003162890665689391,0.007894907736023395,0.002354534468740992,0.015583529224904703,0.0405014907963247,20.296369455480214
ts0540007,0.003068552615650232,0.006827377222114961,0.0019054164662598344,0.17129832168572637,0.20615196744950012,1.7913500759686212
ts0230005,0.0030544321286414744,0.006219023925295775,0.0023729110432641437,0.057570314485387554,0.043057600460102444,5.305567905863616
ts0210003,0.0029783400239652325,0.015222022320665534,0.004929908723469817,0.009336213468869124,0.040030781488215816,31.90094178861993
ts0210008,0.002935812267975951,0.007104150385182369,0.0018153751124337168,0.037574301143583226,0.07219311963167319,7.813351622315712
ts0170004,0.002910735284380874,0.005154756487843359,0.0013971936412417254,0.3406626323591698,0.08588818301842548,0.8544333918350068
ts0540010,0.0028722993942198946,0.005608615200706435,0.0012823174645409925,0.2004457115628971,0.15735729516962313,1.4329562712139177
ts0440009,0.002853113544028877,0.015223110766756746,0.004805921459105965,0.004116349004659043,0.03442986263664255,69.31175031076357
ts0300006,0.0028286783990630958,0.007385572102776751,0.0024440686769717445,0.004362335874629394,0.0272635096972906,64.84320511664885
ts0510002,0.002808361231258547,0.005861426979078198,0.0017098025423205217,0.010215126005929692,0.03526756365405763,27.49218394005463
ts0580003,0.0027986479493985195,0.008631734785106676,0.002528816625999103,0.12821246293943245,0.0803352180929343,2.1828205193442076
ts0020017,0.00278245551463447,0.007458425018853174,0.002143110247077697,0.06269952880135536,0.03940066756633913,4.437761443869611
ts0610004,0.0027805051838133304,0.010264025773132828,0.0029088302688895858,0.018077599534095722,0.026042419887244685,15.380942467328623
ts0440007,0.002780120904638444,0.011827916249716915,0.0035633632450408487,0.007424994705633206,0.02859939692874936,37.44273248476821
ts0020016,0.002777751921313773,0.0074593517166374745,0.0021314574483911474,0.06278915184243965,0.03941306649145865,4.423936045965618
ts0170006,0.002755748961206079,0.005947401023632837,0.0015196475895127898,0.12915006353240152,0.0576535541752664,2.1337573407501336
ts0290004,0.0027233390413520875,0.006862211816734826,0.0025266202516402497,0.0373653695468022,0.04424846319563255,7.288403873380549
ts0150009,0.0027133461901596096,0.006985201864646143,0.002427667354262676,0.04285592969080898,0.044033787981221546,6.331320332414869
ts0660010,0.0026780268819613625,0.004578389949250805,0.00131727184734262,0.07932166454891995,0.03518874797271689,3.3761607212740046
ts0380003,0.002671216452915048,0.00632844576392548,0.0017750081470017617,0.07724779224904703,0.04544323997518353,3.4579842027109864
